Date,Open,High,Low,Close,Volume,SPY R
23/04/2008,138.09,138.78,137.12,137.72,193309024,-0.001594896
24/04/2008,138.08,139.74,137.04,138.32,229381360,0.004356666
25/04/2008,139.41,139.89,137.91,139.6,190788064,0.009253904
28/04/2008,139.88,140.25,139.38,139.63,105616520,0.0002149
29/04/2008,139.39,139.73,138.61,139.08,125514032,-0.003938982
30/04/2008,139.29,140.59,138.26,138.26,208395824,-0.005895887
01/05/2008,138.39,141.12,138.27,141.12,187279488,0.020685665
05/05/2008,141.05,141.61,140.41,140.83,118510384,-0.002054989
06/05/2008,140.01,142.2,139.69,142.05,179339824,0.008662927
07/05/2008,141.89,142.04,139.13,139.52,199267232,-0.01781063
09/05/2008,138.6,139.39,138.45,138.9,152589648,-0.004443807
12/05/2008,139.25,140.56,138.73,140.46,150881264,0.011231102
13/05/2008,140.8,140.89,139.73,140.48,159141856,0.000142389
14/05/2008,141.07,142.2,140.46,140.77,181910736,0.002064351
15/05/2008,141.04,142.63,140.83,142.53,166926992,0.012502664
16/05/2008,142.86,142.87,141.61,142.66,204236800,0.000912089
19/05/2008,142.81,144.3,142.3,143.05,165704064,0.002733773
20/05/2008,142.27,142.34,141,141.89,178552032,-0.008109053
21/05/2008,141.81,142.12,139,139.49,252724800,-0.016914511
22/05/2008,139.43,140.17,139,139.51,170820320,0.000143379
23/05/2008,139.05,139.66,137.52,137.64,181436192,-0.013404057
27/05/2008,137.8,139,137.53,138.66,168322816,0.007410636
28/05/2008,139.17,140,138,139.3,181288080,0.004615607
29/05/2008,139.13,140.93,139.08,140,173927168,0.005025126
30/05/2008,140.47,140.74,139.94,140.35,117361936,0.0025
02/06/2008,139.83,139.86,138,138.9,181069856,-0.010331315
03/06/2008,139.3,139.62,137.23,138.09,272049888,-0.005831533
04/06/2008,137.7,139.16,137.46,138.02,246726352,-0.000506916
05/06/2008,138.58,140.89,138.32,140.78,237867024,0.019997102
06/06/2008,139.55,139.8,136.22,136.29,384276288,-0.031893735
09/06/2008,136.86,137.5,135.41,136.62,228263872,0.002421308
10/06/2008,135.67,137.1,135.35,135.94,260234816,-0.004977309
11/06/2008,135.97,136.26,133.93,133.94,284064384,-0.014712373
12/06/2008,134.6,135.87,133.52,134.45,252791744,0.003807675
13/06/2008,135.17,136.52,134.42,136.15,244727072,0.012644106
16/06/2008,135.55,136.93,135.46,136.23,185832464,0.000587587
17/06/2008,137.07,137.12,135.37,135.57,191743792,-0.004844748
18/06/2008,134.69,135.52,133.71,134.25,266970560,-0.009736667
19/06/2008,134.15,135.24,132,134.42,304310848,0.001266294
20/06/2008,132.84,133.09,131.22,131.58,289275680,-0.021127808
23/06/2008,132.09,132.23,131.32,131.45,165115664,-0.000987992
24/06/2008,131.05,132.44,130.19,131.19,267300608,-0.001977938
25/06/2008,131.72,133.4,131.24,131.81,287853824,0.00472597
26/06/2008,130.57,131.42,128.08,128.23,297774976,-0.027160307
27/06/2008,128.28,128.86,127.04,127.53,303423328,-0.005458941
30/06/2008,127.89,128.91,127.3,127.98,258888160,0.003528582
01/07/2008,126.52,128.47,125.93,128.38,388621952,0.003125488
02/07/2008,128.79,129.16,125.95,126.18,291223200,-0.017136626
07/07/2008,126.79,127.34,123.92,125.02,372427200,-0.009193216
08/07/2008,124.99,127.39,124.2,127.24,376225344,0.017757159
09/07/2008,127.5,127.74,124.39,124.79,336789760,-0.019254951
10/07/2008,124.43,125.79,123.58,125.3,436475648,0.004086866
11/07/2008,123.97,125.9,122.49,123.84,481124576,-0.011652035
14/07/2008,125.26,125.5,122.4,122.72,322720832,-0.009043928
15/07/2008,121.8,123.49,120.02,120.99,502502432,-0.014097132
16/07/2008,121.45,124.57,121.1,123.96,371642880,0.024547483
17/07/2008,125.14,126.26,124.09,125.2,375490528,0.010003227
18/07/2008,126.17,126.42,125.15,125.98,267030000,0.006230032
21/07/2008,126.51,126.8,125.19,126.05,222862992,0.000555644
22/07/2008,125.15,127.8,124.85,127.48,296904160,0.011344704
23/07/2008,127.89,129.15,127.55,128.17,311698336,0.005412614
24/07/2008,128.34,128.41,125.16,125.51,248634464,-0.020753687
25/07/2008,125.89,126.49,125.17,125.48,219130992,-0.000239025
28/07/2008,125.51,126.06,123.42,123.64,205202880,-0.014663691
29/07/2008,123.98,126.38,123.64,126.28,261505536,0.021352313
30/07/2008,127.11,128.6,126.28,128.53,354709952,0.017817548
31/07/2008,127.4,128.57,126.63,126.83,277402176,-0.013226484
01/08/2008,127.12,127.28,125.46,126.16,248703552,-0.005282662
04/08/2008,126.04,126.14,124.76,124.99,188251712,-0.009273938
05/08/2008,126.02,128.56,124.97,128.36,251624288,0.026962157
06/08/2008,128.02,129.3,127.48,128.93,209555392,0.004440636
07/08/2008,127.96,129.05,126.54,127.01,246312448,-0.014891802
08/08/2008,126.58,129.93,126.38,129.37,260811648,0.018581214
11/08/2008,129.47,131.51,129.23,130.71,249425776,0.010357888
12/08/2008,130.28,130.7,128.73,129.35,213200800,-0.010404713
13/08/2008,128.79,129.65,127.67,128.57,256467216,-0.006030151
14/08/2008,127.84,130.28,127.75,129.54,239556080,0.007544528
15/08/2008,129.93,130.5,129.3,130.17,181005392,0.004863363
18/08/2008,130.43,130.48,127.66,128.39,172275088,-0.013674426
19/08/2008,127.42,128.12,126.53,126.99,194673632,-0.010904276
20/08/2008,127.39,127.95,126.34,127.58,225498128,0.004646035
21/08/2008,126.75,128.44,126.6,127.8,180609792,0.001724408
22/08/2008,128.67,129.65,127.8,129.65,167715248,0.014475743
25/08/2008,128.8,129.65,126.75,127.02,171936880,-0.020285384
26/08/2008,127.02,127.87,126.58,127.39,159117184,0.002912927
27/08/2008,127.55,128.83,127.3,128.63,171032720,0.009733888
28/08/2008,129.28,130.34,128.63,130.19,167537072,0.012127808
29/08/2008,129.73,130.14,128.51,128.79,189209984,-0.010753514
02/09/2008,130.03,130.71,127.52,127.99,252469584,-0.006211662
03/09/2008,127.88,128.5,126.93,127.88,251949712,-0.000859442
04/09/2008,126.97,127.23,123.96,124.03,340438560,-0.03010635
05/09/2008,123.29,124.95,122,124.42,289514592,0.003144401
08/09/2008,128.04,128.24,124.42,126.99,364148832,0.020655843
09/09/2008,127.1,127.36,122.8,123.22,377326720,-0.029687377
10/09/2008,123.89,124.9,122.55,123.72,298916544,0.004057783
11/09/2008,122.12,125.74,121.6,125.51,375369312,0.014468154
12/09/2008,124.29,126.21,123.83,126.09,297851200,0.004621146
15/09/2008,121.63,125.65,119.89,120.09,483606976,-0.047585058
16/09/2008,117.2,122.32,117,122.1,581744256,0.016737447
17/09/2008,119.64,121.85,116,116.61,624095552,-0.044963145
18/09/2008,118.05,121.79,113.8,120.07,776114688,0.029671555
19/09/2008,126.7,128,116.52,124.12,501146912,0.033730324
22/09/2008,124.45,124.75,120.36,121.31,249966464,-0.022639381
23/09/2008,120.85,122.02,118.28,118.55,328230208,-0.022751628
24/09/2008,119.35,120,117.79,118.93,311871168,0.003205399
