Open,High,Low,Close,Volume,TLT R
95,95.56,94.81,95.53,3049715,0.008019415
96.02,96.31,95.41,95.48,4168041,-0.000523396
94.9,95.88,94.56,95.88,5426146,0.004189359
95.83,96.88,95.54,96.83,3890119,0.009908219
95.98,96.66,95.82,96.23,2407852,-0.006196427
96.79,96.86,96,96.18,3591911,-0.000519588
96.21,96.33,94.75,94.94,4138135,-0.012892493
96.28,98.17,96.07,98.02,5890028,0.032441542
100.71,100.86,97.91,98,6684376,-0.00020404
98.92,99.38,97.73,98.49,4371248,0.005
97.95,98.49,96.92,97.05,4188273,-0.014620774
93.86,95.02,93.7,93.97,7169172,-0.031736218
92.93,93.96,92.6,93.96,4726297,-0.000106417
93.61,94.1,93.13,93.6,2235943,-0.003831418
93.97,94.75,93.6,94.01,1014891,0.004380342
94.59,94.59,93.15,93.82,1881151,-0.002021062
94.07,94.79,94.07,94.5,1992783,0.007247922
95.17,97.93,95.16,97.25,4799714,0.029100529
97.04,97.29,94.6,94.88,1358052,-0.02437018
96.04,96.9,94.95,95.78,1767757,0.009485666
96.57,96.85,96.07,96.55,931832,0.008039257
97.38,97.79,95.49,97.4,1903059,0.008803729
98.74,99.86,98.62,99.17,2906197,0.018172485
98.32,99.67,97.98,98.87,1971958,-0.003025108
99.68,99.94,96.68,97.45,3386598,-0.014362294
97.37,97.7,96.22,96.63,1785344,-0.008414572
96.61,96.91,95.51,95.95,2199907,-0.007037152
95.11,95.95,94.26,94.72,1532006,-0.012819177
94.25,95.26,93.9,94.11,2099972,-0.006440034
94.12,95.04,93.42,95.01,1449460,0.009563277
94.99,95.27,94.18,94.52,1063187,-0.005157352
94.69,94.9,93.02,93.87,1691858,-0.006876851
93.44,94.94,93.36,94.62,1146711,0.007989773
95.09,95.99,94.74,95.12,1243652,0.005284295
96.12,97.49,95.85,97.05,1071261,0.02029016
97.95,98.89,96.82,97.77,1801919,0.007418856
98.82,99.05,96.45,96.73,1495705,-0.01063721
97.77,98.21,96.29,96.8,1534101,0.000723664
96.18,96.9,95.15,95.39,1505478,-0.014566116
95.77,96.01,94.43,94.91,1748285,-0.005031974
94.5,94.8,93.8,94.05,1325935,-0.009061216
94.64,94.92,92.65,92.83,2282489,-0.012971823
92.72,93.11,92.35,92.71,1111595,-0.001292686
92.96,94.71,92.59,94.45,1608756,0.018768202
94.89,95.67,94.4,95.57,1931636,0.011858126
94.6,95.05,93.81,94.88,919672,-0.007219839
94.52,94.52,93.55,94.26,1277053,-0.00653457
93.8,95.1,93.68,94.72,1352097,0.004880119
95.21,95.81,94.96,95,695968,0.002956081
95.58,96.07,95.16,95.61,1199402,0.006421053
94.91,95.25,93.25,93.32,1631895,-0.02395147
95.11,95.46,94.79,95.17,1059631,0.019824261
95.68,96.03,95.29,95.59,490511,0.004413155
96.38,97,95.96,96.82,924768,0.012867455
97.47,99.37,97.21,99.3,2090312,0.025614542
101.82,104.44,101.1,104.43,5459770,0.051661631
103.25,103.98,101.45,102.92,3249297,-0.014459447
102.15,102.29,101,101.31,1587214,-0.015643218
103.95,104.47,102.68,104.29,2632783,0.029414668
104.72,105.62,104.09,104.43,2577729,0.001342411
107.75,110.41,107.13,109.4,4031550,0.047591688
108.56,110.37,108.19,109.82,3289232,0.003839122
110.27,110.81,108.56,110.13,2950997,0.002822801
111.13,112.49,110.37,112.3,2826095,0.019703986
111.95,113,110.42,110.48,4557562,-0.016206589
110.48,111.25,109.69,110.24,2119481,-0.002172339
110.58,112.53,110.25,112.42,2055457,0.019775036
111.37,112.15,111.12,112.15,2414870,-0.002401708
112.18,112.43,110.87,112.37,2417249,0.001961658
112.54,112.56,110.34,112.37,2547014,0
112.35,113.94,112.05,113.65,1707653,0.011390941
114.1,116.9,113.97,116.46,4015018,0.024725033
120.77,121.13,119.26,119.62,6432079,0.02713378
120.74,123.15,120.45,122.13,4441969,0.020983113
121.44,122.99,121.28,122.26,2668416,0.00106444
122.39,122.39,120.73,121.32,2222727,-0.007688533
120.14,121.5,119.9,121.16,1747467,-0.001318826
120.73,121.32,120.62,120.9,717452,-0.002145923
121.59,121.97,121.2,121.3,454387,0.003308519
121.43,122.01,120.61,120.75,1415906,-0.004534213
120.49,121.92,120.07,121.9,2590483,0.00952381
121.41,122,118.85,119.35,2737980,-0.020918786
120.05,120.45,116.35,116.35,3464102,-0.025136154
115.6,116.16,112.6,113.35,5395492,-0.025784272
111.62,113.26,111,112.21,4110015,-0.010057345
111.96,112.68,111.4,112.65,2548854,0.003921219
112.64,112.92,111.99,112.56,2603599,-0.000798935
111.46,113.35,111.27,112.73,2727805,0.001510306
111.57,114.05,111.57,113.9,2462793,0.010378781
113.5,114.08,112.96,114.02,1767358,0.001053556
114.65,116.04,114.65,115.9,2494759,0.016488335
116.2,116.92,115.58,116.09,2827282,0.001639344
113.42,116.09,113.36,114.3,2994707,-0.015419071
112.29,114.63,112.23,114.28,3268419,-0.000174978
111.93,113.04,110.4,110.67,2838093,-0.031589079
110.6,110.77,107.88,108.54,4016596,-0.019246408
107.92,108.32,106.69,107.69,2676196,-0.007831214
107.43,107.82,106.3,106.75,2240814,-0.008728758
107.8,109.59,107.63,109.26,3421407,0.023512881
109.31,109.81,105.72,106.53,4348083,-0.024986271
105.56,106.31,103.66,104.08,3724397,-0.022998216
104.55,104.87,103.44,103.75,2630588,-0.003170638
104.02,105.68,103.39,105.39,2700122,0.015807229
104.3,104.83,102.75,102.88,2846354,-0.023816301
102.75,102.87,101.62,102.52,2305310,-0.003499222
103.24,103.88,102.21,102.61,2279433,0.000877877
102.25,102.86,101.9,102.29,1667494,-0.003118604
101.69,102.67,101.06,102.62,2257935,0.003226122
104.11,104.96,103.45,104.85,3783001,0.021730657
105.71,106.5,105.53,106.21,2774154,0.012970911
105.98,106.18,104.74,105.21,1818492,-0.009415309
103.95,103.95,102.23,102.41,2468301,-0.02661344
104.55,105.66,104.35,105.6,2813822,0.031149302
106.06,106.56,104.3,104.7,2768774,-0.008522727
102.69,104.06,102.23,102.92,3220161,-0.017000955
104.27,105.16,103.3,103.92,4272002,0.009716284
103.6,104.88,103.17,104.88,2688638,0.009237875
105.7,106.68,104.77,104.77,4197010,-0.001048818
105.24,105.49,103.03,103.56,3908158,-0.011549108
102.87,103.26,101.98,102.47,2611147,-0.010525299
102.57,103.01,101.21,101.88,3267743,-0.005757783
102.22,103.28,102.09,103.28,3301952,0.013741657
102.23,103.57,101.81,102.59,3084808,-0.006680868
102.23,102.25,101.16,102.12,3178305,-0.004581343
104.02,105.44,103.44,104.96,4562360,0.027810419
104.26,105.97,104.09,104.26,3126181,-0.006669207
104.51,104.55,103.12,103.65,2070419,-0.005850758
102.43,102.75,101.51,101.66,2602554,-0.019199228
101.29,102.76,100.93,102.76,3101569,0.010820382
102.66,103.97,102.31,103.25,3558831,0.004768392
